cw,image_id,label_id,label_class,coordinates
cw_7@c.com,image1,label3,vechicle,"{'x_1': 8.534674506320277, 'y_1': 9.484692498089014, 'x_2': 11.219245163593364, 'y_2': 10.724343571748717}"
cw_7@c.com,image1,label4,traffic-light,"{'x_1': 0.650737432170303, 'y_1': 9.021341384989215, 'x_2': 2.930314383304788, 'y_2': 11.003025341666234}"
cw_8@c.com,image1,label1,vehicle,"{'x_1': 0.7663625860426548, 'y_1': 0.6490862168528032, 'x_2': 2.9510529098521383, 'y_2': 2.8053737719537826}"
cw_8@c.com,image1,label2,pedestrian,"{'x_1': 8.873676303010553, 'y_1': 1.3591721557431344, 'x_2': 10.74903313851293, 'y_2': 2.849284294124544}"
cw_8@c.com,image1,label3,vechicle,"{'x_1': 9.255162791219501, 'y_1': 8.633922192939288, 'x_2': 10.620945596092094, 'y_2': 11.350209952757144}"
cw_8@c.com,image1,label4,traffic-light,"{'x_1': 0.5917378542870337, 'y_1': 9.126868115940393, 'x_2': 3.0546282150765474, 'y_2': 11.098305649638746}"
cw_9@c.com,image1,label1,vehicle,"{'x_1': 1.242938357686878, 'y_1': 1.2623912124805894, 'x_2': 3.216119833051288, 'y_2': 2.9078055844612987}"
cw_9@c.com,image1,label2,pedestrian,"{'x_1': 9.142275918582193, 'y_1': 1.4241393776947247, 'x_2': 10.732235398605937, 'y_2': 2.6865796251388225}"
cw_9@c.com,image1,label3,vechicle,"{'x_1': 9.031313934099108, 'y_1': 9.434818638756042, 'x_2': 10.619903743867251, 'y_2': 10.821452031143053}"
cw_9@c.com,image1,label4,traffic-light,"{'x_1': 0.8044247410121567, 'y_1': 9.116277143168059, 'x_2': 2.870772954206866, 'y_2': 11.151191368931588}"
cw_10@c.com,image1,label1,vehicle,"{'x_1': 1.1684535346543683, 'y_1': 1.3555017953634487, 'x_2': 3.2014268397232617, 'y_2': 2.940106387322741}"
cw_10@c.com,image1,label2,pedestrian,"{'x_1': 8.531212852752189, 'y_1': 0.9002064079137078, 'x_2': 11.229421310610855, 'y_2': 3.136460680888342}"
cw_10@c.com,image1,label3,vechicle,"{'x_1': 9.452927567464611, 'y_1': 9.147334466682457, 'x_2': 10.958078825590817, 'y_2': 11.463103129966767}"
cw_10@c.com,image1,label4,traffic-light,"{'x_1': 0.5429871786620357, 'y_1': 8.854189075073348, 'x_2': 3.172559784715626, 'y_2': 11.043805656972763}"
